playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8473575,2015,Semyon Varlamov,COL,G,5on4,57,15093.0,5.41,4.0,63.0,2.24,5.0,4.84,4.0,39.53,49.0,6.42,6.0,10.76,9.0,29.59,32.0,5.26,29.0,18.0,7.0,0.66,2.45,2.3,1.0,2.0,1.0,9.0,0.0,0.0
8473575,2016,Semyon Varlamov,COL,G,other,24,2031.0,4.82,3.0,57.0,2.79,4.0,6.33,4.0,33.4,34.0,0.54,0.0,19.36,24.0,9.5,9.0,4.14,18.0,22.0,4.0,0.7,2.8,1.31,1.0,2.0,0.0,13.0,0.0,0.0
8473575,2016,Semyon Varlamov,COL,G,all,24,80867.0,65.46,76.0,1314.0,48.85,64.0,163.14,148.0,704.6,745.0,19.22,28.0,393.93,287.0,286.42,380.0,61.16,732.0,188.0,61.0,20.68,23.07,21.71,28.0,30.0,18.0,333.0,0.0,0.0
8473575,2016,Semyon Varlamov,COL,G,5on5,24,63644.0,42.76,56.0,1021.0,35.9,46.0,130.81,124.0,540.09,571.0,15.33,28.0,302.12,205.0,225.52,306.0,41.51,584.0,137.0,34.0,16.5,17.12,9.14,24.0,24.0,8.0,266.0,0.0,0.0
8473575,2016,Semyon Varlamov,COL,G,4on5,24,8215.0,16.31,17.0,210.0,9.39,11.0,23.32,17.0,113.71,119.0,0.56,0.0,67.55,56.0,36.83,49.0,14.07,110.0,26.0,21.0,2.85,2.87,10.59,3.0,4.0,10.0,53.0,0.0,0.0
8473575,2016,Semyon Varlamov,COL,G,5on4,24,6977.0,1.57,0.0,26.0,0.77,3.0,2.66,3.0,17.39,21.0,2.79,0.0,4.9,2.0,14.57,16.0,1.43,20.0,3.0,2.0,0.62,0.29,0.66,0.0,0.0,0.0,1.0,0.0,0.0
8473575,2017,Semyon Varlamov,COL,G,other,51,4656.0,9.99,19.0,140.0,5.78,5.0,12.96,6.0,71.54,78.0,1.44,2.0,42.75,41.0,24.09,23.0,9.25,51.0,36.0,11.0,2.14,4.36,3.5,5.0,10.0,4.0,42.0,0.0,0.0
8473575,2017,Semyon Varlamov,COL,G,all,51,171663.0,133.84,128.0,2982.0,110.02,140.0,360.85,292.0,1575.26,1595.0,42.18,49.0,893.11,734.0,665.3,869.0,127.36,1665.0,438.0,112.0,45.66,52.66,35.51,46.0,51.0,31.0,767.0,2.0,1.0
8473575,2017,Semyon Varlamov,COL,G,5on5,51,134763.0,93.6,81.0,2276.0,79.29,108.0,287.38,232.0,1204.49,1213.0,32.89,39.0,676.45,545.0,514.48,691.0,90.26,1308.0,310.0,73.0,35.57,37.26,20.77,33.0,30.0,18.0,585.0,2.0,1.0
8473575,2017,Semyon Varlamov,COL,G,4on5,51,15768.0,24.07,21.0,468.0,21.71,22.0,51.32,41.0,239.15,237.0,0.7,1.0,154.35,137.0,79.67,105.0,21.82,247.0,70.0,22.0,6.2,8.23,9.64,6.0,7.0,8.0,129.0,0.0,0.0
8473575,2017,Semyon Varlamov,COL,G,5on4,51,16476.0,3.85,5.0,71.0,2.0,4.0,5.28,7.0,40.26,45.0,6.86,7.0,11.07,9.0,37.65,35.0,3.75,45.0,11.0,5.0,1.18,1.32,1.35,2.0,2.0,1.0,10.0,0.0,0.0
8473575,2018,Semyon Varlamov,COL,G,other,49,4870.0,10.25,12.0,126.0,5.28,8.0,13.8,16.0,73.06,76.0,1.38,1.0,41.07,28.0,27.18,34.0,9.42,64.0,24.0,12.0,2.57,2.95,4.73,4.0,5.0,3.0,26.0,0.0,0.0
8473575,2018,Semyon Varlamov,COL,G,all,49,169228.0,132.24,137.0,2771.0,100.16,137.0,328.98,287.0,1428.38,1497.0,45.87,60.0,804.74,614.0,606.29,790.0,126.75,1513.0,375.0,132.0,41.21,45.32,45.72,46.0,45.0,46.0,751.0,2.0,1.0
8473575,2018,Semyon Varlamov,COL,G,5on5,49,133898.0,89.66,92.0,2130.0,72.58,97.0,263.88,221.0,1092.86,1127.0,36.28,47.0,609.06,458.0,471.96,629.0,86.43,1174.0,293.0,77.0,32.14,35.56,21.95,36.0,36.0,20.0,586.0,2.0,1.0
8473575,2018,Semyon Varlamov,COL,G,4on5,49,15939.0,30.19,31.0,460.0,20.93,32.0,47.68,43.0,234.96,258.0,1.49,2.0,145.72,120.0,77.97,98.0,28.76,237.0,53.0,40.0,5.73,6.22,18.23,4.0,4.0,23.0,130.0,0.0,0.0
8473575,2018,Semyon Varlamov,COL,G,5on4,49,14521.0,1.92,2.0,44.0,1.04,0.0,2.65,7.0,22.68,33.0,6.69,10.0,5.8,5.0,26.94,25.0,1.92,31.0,5.0,3.0,0.54,0.58,0.8,2.0,0.0,0.0,5.0,0.0,0.0
8473575,2019,Semyon Varlamov,NYI,G,other,45,3668.0,7.67,11.0,120.0,4.38,3.0,11.9,11.0,61.87,68.0,1.45,2.0,36.38,25.0,22.39,33.0,7.32,59.0,17.0,9.0,2.2,2.09,3.37,3.0,4.0,4.0,35.0,0.0,0.0
8473575,2019,Semyon Varlamov,NYI,G,all,45,150785.0,113.16,111.0,2567.0,88.1,95.0,302.74,261.0,1311.81,1277.0,37.9,44.0,752.65,574.0,549.27,757.0,108.77,1427.0,320.0,103.0,37.95,38.25,36.97,36.0,41.0,34.0,717.0,0.0,0.0
8473575,2019,Semyon Varlamov,NYI,G,5on5,45,126365.0,80.09,79.0,2096.0,69.05,75.0,255.56,216.0,1069.53,1028.0,30.86,37.0,613.59,460.0,458.91,638.0,78.09,1195.0,254.0,64.0,31.37,30.36,18.36,30.0,31.0,18.0,583.0,0.0,0.0
8473575,2019,Semyon Varlamov,NYI,G,4on5,45,10456.0,22.38,17.0,306.0,13.29,17.0,31.45,32.0,152.29,151.0,0.75,0.0,93.66,84.0,49.02,60.0,20.35,149.0,38.0,28.0,3.76,4.38,14.24,2.0,4.0,11.0,91.0,0.0,0.0
8473575,2019,Semyon Varlamov,NYI,G,5on4,45,10296.0,2.38,3.0,40.0,1.13,0.0,3.42,2.0,24.93,26.0,4.82,5.0,7.57,3.0,17.8,25.0,2.36,22.0,10.0,1.0,0.57,1.3,0.51,1.0,2.0,0.0,7.0,0.0,0.0
8473575,2020,Semyon Varlamov,NYI,G,other,36,3545.0,5.56,5.0,73.0,3.51,3.0,7.52,8.0,40.63,44.0,0.66,1.0,24.39,16.0,11.68,19.0,4.91,28.0,22.0,4.0,1.39,3.02,1.15,0.0,5.0,0.0,19.0,0.0,0.0
